日期,原神
2023-02-06,97518
2023-02-07,111840
2023-02-08,104519
2023-02-09,97705
2023-02-10,125633
2023-02-11,172621
2023-02-12,136355
2023-02-13,82489
2023-02-14,77186
2023-02-15,78811
2023-02-16,82635
2023-02-17,144421
2023-02-18,195519
2023-02-19,141110
2023-02-20,79810
2023-02-21,76424
2023-02-22,82432
2023-02-23,84210
2023-02-24,120510
2023-02-25,162844
2023-02-26,124583
2023-02-27,81706
2023-02-28,83639
2023-03-01,147532
2023-03-02,98225
2023-03-03,148211
2023-03-04,185915
2023-03-05,131187
2023-03-06,72228
2023-03-07,70440
2023-03-08,71466
2023-03-09,68854
2023-03-10,92817
2023-03-11,143298
2023-03-12,110939
2023-03-13,61514
2023-03-14,47890
2023-03-15,45765
2023-03-16,50421
2023-03-17,91566
2023-03-18,141088
2023-03-19,106778
2023-03-20,61405
2023-03-21,76431
2023-03-22,70608
2023-03-23,65423
2023-03-24,91008
2023-03-25,136440
2023-03-26,103377
2023-03-27,59669
2023-03-28,56637
2023-03-29,57812
2023-03-30,64560
2023-03-31,107946
2023-04-01,153073
2023-04-02,120193
2023-04-03,76679
2023-04-04,95154
2023-04-05,123664
2023-04-06,68059
2023-04-07,80198
2023-04-08,120077
2023-04-09,101826
2023-04-10,65502
2023-04-11,70837
2023-04-12,128091
2023-04-13,81465
2023-04-14,114507
2023-04-15,160436
2023-04-16,118825
2023-04-17,60471
2023-04-18,58241
2023-04-19,58912
2023-04-20,63495
2023-04-21,91251
2023-04-22,124110
2023-04-23,70707
2023-04-24,59892
2023-04-25,59883
2023-04-26,62575
2023-04-27,62747
2023-04-28,101833
2023-04-29,157204
2023-04-30,144145
2023-05-01,128491
2023-05-02,112954
2023-05-03,94098
2023-05-04,55548
2023-05-05,52831
2023-05-06,71007
2023-05-07,94384
2023-05-08,50526
2023-05-09,48949
2023-05-10,49409
2023-05-11,52974
2023-05-12,65863
2023-05-13,131388
2023-05-14,102485
2023-05-15,50777
2023-05-16,48940
2023-05-17,50090
2023-05-18,50781
2023-05-19,70321
2023-05-20,112083
2023-05-21,89415
2023-05-22,45717
2023-05-23,48339
2023-05-24,90720
2023-05-25,64055
2023-05-26,89170
2023-05-27,130190
2023-05-28,96941
2023-05-29,50462
2023-05-30,48971
2023-05-31,50368
2023-06-01,64117
2023-06-02,76324
2023-06-03,116120
2023-06-04,97470
2023-06-05,67494
2023-06-06,71093
2023-06-07,68284
2023-06-08,70972
2023-06-09,90144
2023-06-10,130957
2023-06-11,106984
2023-06-12,66490
2023-06-13,75677
2023-06-14,73048
2023-06-15,72237
2023-06-16,91043
2023-06-17,125904
2023-06-18,107798
2023-06-19,77943
2023-06-20,74749
2023-06-21,98360
2023-06-22,149428
2023-06-23,133745
2023-06-24,112055
2023-06-25,76281
2023-06-26,76719
2023-06-27,80454
2023-06-28,88977
2023-06-29,92929
2023-06-30,105193
2023-07-01,117805
2023-07-02,105308
2023-07-03,104666
2023-07-04,111435
2023-07-05,165179
2023-07-06,122246
2023-07-07,119537
2023-07-08,119333
2023-07-09,112261
2023-07-10,103076
2023-07-11,101422
2023-07-12,99766
2023-07-13,99769
2023-07-14,98606
2023-07-15,101060
2023-07-16,102043
2023-07-17,96258
2023-07-18,93332
2023-07-19,92592
2023-07-20,91488
2023-07-21,91109
2023-07-22,94911
2023-07-23,96067
2023-07-24,93347
2023-07-25,104879
2023-07-26,104915
2023-07-27,100552
2023-07-28,103514
2023-07-29,105456
2023-07-30,103667
2023-07-31,100069
2023-08-01,99759
2023-08-02,98818
2023-08-03,98585
2023-08-04,117490
2023-08-05,121307
2023-08-06,107943
2023-08-07,102697
2023-08-08,98667
2023-08-09,103142
2023-08-10,103230
2023-08-11,107240
2023-08-12,109592
2023-08-13,112168
2023-08-14,125631
2023-08-15,132339
2023-08-16,270521
2023-08-17,175117
2023-08-18,145567
2023-08-19,140750
2023-08-20,131139
2023-08-21,118947
2023-08-22,111969
